appid,name,price_usd,release_year,short_desc,developers,publishers,genres_official,user_tags,review_summary,review_count,avg_playtime,med_playtime
868520,killer7,4.99,2018,"Sneak into a world of underground assassins as Harman Smith, a man who manifests 7 deadly personalities, the killer7. Take control of this distinct murderers' row as they hunt down the sinister Kun Lan to thwart his plan of world dominance.",GRASSHOPPER MANUFACTURE INC.|Engine Software BV,"NIS America, Inc.",Action|Adventure,Cult Classic|Surreal|Violent|Great Soundtrack|On-Rails Shooter|Gore|Stylized|Action|Adventure|Singleplayer|Story Rich|Horror|Anime|Blood|First-Person|Classic|Atmospheric|Shooter|FPS|Sexual Content,Very Positive,25,561,763
868580,Arkhangel: The House of the Seven Stars,0.0,2018,Michael struggles with dreams of dark waters and an unknown ancient evil resting beneath the cold waves. Are these simply dreams or are they a premonition of things to come?,Winter Night Games,ZQ SFX LLC,Adventure|Indie|Free To Play,Interactive Fiction|Point & Click|Mystery|Horror|Puzzle|Lovecraftian|Emotional|3D|Third Person|Lore-Rich|Conversation|Multiple Endings|Narration|Story Rich|Stylized|Atmospheric|Drama|Tutorial|Adventure|Singleplayer,Very Positive,74,0,0
868550,What do you hear?? Yanny vs Laurel,48.99,2018,"What word or name do you hear, and how far do you have to move the slider to hear another? Check it out and be surprised by the possibilities of your brain!",What a Studio,What a Studio,Indie,Indie|Psychological Horror|Memes|Psychological,Positive,49,0,0
867960,Remorse: The List,14.79,2022,"Remorse: The List is a classic survival horror game where the player must figure out what is happening in the little hungarian town of Hidegpuszta, and your only clue is a list that doesn't make much sense. Exploring will be the key to unveiling its secrets and get out of there alive.",Ashkandi|Truthkey,Ashkandi|Feardemic,Action|Indie,Action|Indie|Gore|Violent|FPS|Horror|Survival Horror|Psychological Horror|Shooter|Puzzle|Action-Adventure|Exploration|First-Person|Atmospheric|Dark|Story Rich|Controller|Singleplayer|Open World|3D,Mostly Positive,257,0,0
867480,Daddy,2.99,2018,You have to find your daddy.,Pudding,Pudding,Indie,Indie|Funny|Horror,Mixed,108,35,35
867700,The Wilting Amaranth,3.99,2018,"The Wilting Amaranth is a short yuri (GxG) romance visual novel based very loosely on a familiar fairy tale. It features 2 character routes, 13 endings, and 3 to 5 hours of gameplay.",Reine Works,Top Hat Curios & Oddities,Casual,Sexual Content|Visual Novel|Choose Your Own Adventure|Dating Sim|Casual|LGBTQ+|Female Protagonist|Cute|Psychological Horror|Romance|Story Rich|Multiple Endings|Anime|Fantasy|Drama|Adventure|Dark|Singleplayer|Indie|NSFW,Very Positive,63,0,0
867050,Endless Fables 3: Dark Moor,3.74,2018,"During her new adventure, Pamela Cavendish goes to a misty and mysterious Scotland where a seemingly innocent landscape of moor quickly reveals its dark nature. Spectre from the past and ghostly sounds will force her to follow the amazing legend of the Red Moon.",Sunward Games,Artifex Mundi,Adventure|Casual,Casual|Adventure|Hidden Object|Point & Click|Horror|Fantasy|Puzzle|Female Protagonist|2D|Mystery|Dark Fantasy|Dark|Singleplayer|Indie|Atmospheric|Great Soundtrack,Very Positive,122,0,0
865860,Vein Hotel,3.29,2018,"&quot;Vein Hotel&quot; 3D horror game, let's feel the fear! Travelling is fun. One night, when I woke up, I found myself in a strange place, it was a very different hotel, and I began to explore where I was and escaped. Why I am here? It must has some reasons .",阿屁,阿屁,Adventure|Indie,Adventure|Indie|Horror|Thriller,8 user reviews,,0,0
866270,Lambs on the Road,2.99,2021,Inspired on the bestseller ”The Road” by Cormac McCarthy. Lambs on the road is a adventure platformer game with small puzzles. Help John to find her daughter in a post-apocalyptic world plenty of dangers.,Flynn's Arcade,Flynn's Arcade,Action|Adventure|Indie,Action|Adventure|Indie|Violent|Platformer|Action-Adventure|Side Scroller|Puzzle Platformer|2D Platformer|2D|Colorful|Hand-drawn|Survival|America|Sci-fi|Post-apocalyptic|Survival Horror|Dark|Story Rich|Narration,Positive,28,0,0
866310,Putin Run Away From Trump,0.99,2018,"You play for Putin, who at the time of the taxation bargained with Trump, so you have to run away from Trump and his clones, and also collect taxes (bitcoins)","Nikita ""Ghost_RUS""",Ghost_RUS Games,Adventure|Casual|Indie,Indie|Casual|Adventure|Psychological Horror|Political,Mixed,41,0,0
865330,Dark Days of Horror,0.79,2018,Dive into this survival horror game where your hero kill zombies and have also to destroy the laboratory in which they are being produced. Complete tasks to move to the next level.,Alexander Casha,Alexander Casha,Action,Action|Indie|Survival Horror|Horror|Early Access,5 user reviews,,0,0
865670,Prey - Mooncrash,7.99,2018,"Fight overwhelming odds to escape a secret TranStar moon base where the enemies you encounter, the hazards you face, the goals you complete, and the loot you collect are different each time you play. With changing environments as dangerous as they are dynamic, the Mooncrash campaign for Prey will offer a fun, infinitely replayable...",Arkane Studios,Bethesda Softworks,Action|Adventure,Action|Adventure|Roguelite|Immersive Sim|FPS|Horror|Sci-fi|Roguelike|Atmospheric|Singleplayer|First-Person|Space,Mostly Positive,"1,574",0,0
865840,Metempsychosis,,soon,You think you heard something? You are wrong. You can't find the way out? You've always been lost. Escape is ephemeral. Existence is temporary. Remember. The light is changing.,Daria Karpova,Daria Karpova,Adventure|Indie,Indie|Adventure|Simulation|Relaxing|Surreal|Psychological Horror|Exploration|First-Person|Atmospheric|Singleplayer|Short|Colorful|Dark|Psychological|Beautiful|Emotional|Walking Simulator|Drama|Experience|Philosophical,,,0,0
865270,LIBRARY,1.59,2018,LIBRARY is a cute game about hanging out and throwing stuff at your new friends! · ◡ · 💌,Happy Snake,Happy Snake Games,Indie,Indie|Cute|First-Person|Family Friendly|Psychological Horror,Very Positive,146,0,0
864530,Necro Immortallis,3.99,2018,Indie horror game about a cruel escape from the artificial death lurking in the forest during World War 2.,Vidas Salavejus,Vidas Salavejus,Indie,Indie|Horror,9 user reviews,,0,0
864550,Radiant One,0.99,2018,Radiant One is art. It makes you think about the meaning of human existence in today's rapidly changing world.,Fntastic,Fntastic,Adventure|Casual|Indie|RPG,Adventure|Casual|RPG|Indie|Story Rich|Short|Atmospheric|Horror|Mystery|Walking Simulator|Psychological|Great Soundtrack|Funny|Cute|Interactive Fiction|Top-Down|Isometric,Mostly Positive,191,63,81
864720,The Naked Game Demo,0.0,2018,"The Naked Game is a first-person psychological thriller/puzzle/exploration game inspired on real events connected by a strong immersive story of a young Eurasian girl who goes on a trip from Japan, her home country, to France.One day she wakes up at an unknown, yet familiar place…",SiCzech Arts,SiCzech Arts,Adventure|Indie,Adventure|Indie|Puzzle|Atmospheric|Nudity|Horror,Mixed,22,0,0
864100,Sagebrush,5.69,2018,"A first-person narrative adventure game about exploring a cult compound in the remote New Mexico desert. Discover the lives of the former inhabitants -- what brought them together, what they believed, and why they ended it all.",Nate Berens,Redact Games,Adventure|Indie,Adventure|Indie|First-Person|Gore|Sexual Content|Walking Simulator|Psychological Horror|Story Rich|Exploration,Very Positive,221,0,0
864170,Midnight Horde,,announced,"Midnight Horde is a gothic horror parkour action game with rogue-lite elements where you battle thousands of enemies. Upgrade weapons, fortify castles and towns to keep darkness at bay.",Carry Castle,Carry Castle,Action|Adventure|Indie|RPG,Action Roguelike|Bullet Hell|Roguelite|Parkour|Arcade|Roguelike|Vampire|3D|Top-Down|Horror|World War I|Base Building|Controller|Action|2D|Casual|Stylized|Dark Fantasy|Gothic|Adventure,,,0,0
863380,Frankenstein: Beyond the Time,8.99,2018,Go on a discovery quest where the task is to solve the greatest mystery of Dr. Frankenstein. The game makes innovative use of Virtual Reality with a hidden object model and crafting simulations combined with the fight against time. Become the time master and carry on Dr. Frankenstein’s legacy!,TD,TD,Adventure|Casual|Indie|Simulation,Adventure|Indie|Casual|Simulation|VR|Horror|Surreal|Puzzle|Exploration|Atmospheric|Dark|Singleplayer|Survival Horror|Psychedelic|Psychological Horror|Story Rich|Great Soundtrack|Mature|Walking Simulator|Drama,Mixed,20,0,0
862690,"Kid,napper: Gosh, I'm Kidnapped by a Pupil",0.0,2018,"I had to admit, the only thing that is more scary than a murder weapon, is that girl, who is not even supposed to hold it",Catnip,Catnip,Adventure|Casual|Free To Play|Indie,Visual Novel|Casual|Cute|Horror|Detective|Anime|Free to Play|Psychological Horror|Story Rich|Choices Matter|Thriller|Dark|Singleplayer|Adventure|Sexual Content|Mature|Indie|Violent|Nudity|Word Game,Very Positive,10,182,38
862580,OK/NORMAL,2.99,2018,"OK/NORMAL is a short, experimental third-person horror experience, inspired by early 3D console games of the 90's. Journey through a dark, disjointed, dreamlike dimension with your cloud companion! Remember a good diet, take your medicine, and you should be fine!",98DEMAKE,98DEMAKE,Adventure|Indie,Indie|Adventure|Retro|Surreal|Psychedelic|Psychological Horror|Horror|Experimental,Very Positive,556,0,0
861930,Kidz,0.0,2018,"Kidz is 2D Side Scrolling style, featuring different mechanic each episode, including Action Horror, Point &amp; Click, and Parkour! 3 kids from the different universe face the same issue. Let's explore their story!",Battleham,Taiwan Public Television Service Foundation,Casual|Free To Play|Indie,Free to Play|Casual|Indie|Horror|2D,Very Positive,275,0,0
860960,N1L,0.0,2021,"No1Lives, It's Your Turn to Die!",Ken Henson|Tom Motz,Ken Henson|Tom Motz,Action|Adventure|Indie|Massively Multiplayer|Racing,Hero Shooter|FPS|On-Rails Shooter|Hack and Slash|Racing|Shoot 'Em Up|Third-Person Shooter|Beat 'em up|Driving|PvP|PvE|Battle Royale|Shooter|Action RPG|Action-Adventure|First-Person|3D|Third Person|Action|Horror,Mixed,18,0,0
861030,Lovely Fox,0.49,2020,"Lovely Fox, a 3d adventure game about the life and times of Lovely fox and her friends. Your tasked with finding special flowers for the Flower king. Guide Lovely fox as she decides to help others or not. Take a role in the well being of her aging grandfather, who she adores very much.",Potato Chips,Potato Chips,Action|Adventure|Early Access,Sexual Content|Nudity|Female Protagonist|Early Access|RPG|Exploration|3D Platformer|Visual Novel|3D|Anime|Superhero|Conversation|Mature|Singleplayer|Remake|Action|Adventure|Illuminati|Great Soundtrack|Psychological Horror,Mostly Positive,59,0,0
861020,Virus,0.79,2018,"Virus is a single-player action game where players face off against increasingly difficult waves of zombies across a variety of immersive environments. Players will have numerous weapons, traps, perks, and power-ups to assist their survival.",Patrick Montiel,Patrick Montiel,Violent|Gore|Action|Indie|Early Access,Early Access|Gore|Violent|Action|Indie|VR|Horror|Shooter,,,0,0
860510,Little Nightmares II,9.89,2021,Little Nightmares II is the second game in a series that has thrilled and captivated millions of players worldwide since 2017. Now it’s your turn to try to survive this critically acclaimed entry in the most charming horror series ever made.,Tarsier Studios,BANDAI NAMCO Entertainment,Adventure,Horror|Adventure|Singleplayer|Puzzle|Dark|Atmospheric|Psychological Horror|Story Rich|Stealth|Action-Adventure|Multiplayer|Puzzle Platformer|Indie|Platformer|Great Soundtrack|2.5D|Thriller|Action|Co-op|Violent,Very Positive,386,504,408
860620,KURSK,7.99,2018,"KURSK is the first ever adventure and documentary video game inspired by real events. You assume the role of a spy who finds way on the Russian nuclear submarine K-141 Kursk. While trying to complete your mission, you become witness to the dramatic events which shook the world at that time.",Jujubee S.A.,Jujubee S.A.,Action|Adventure|Indie|Simulation,Submarine|Naval|Adventure|Documentary|Walking Simulator|Military|Simulation|Action|Underwater|Indie|Gore|Historical|Multiplayer|Horror|Singleplayer|Anime|Atmospheric|Stealth|Thriller|Alternate History,Mixed,419,225,225
860680,Smile'N'Slide,1.99,2018,A fun and colorful game about a little dude who loves to play the ape in his day-to-day life by sliding on inclined surfaces.,Mykhail Konokh,Mykhail Konokh,Action|Indie,Action|Indie|Casual|Platformer|Great Soundtrack|Difficult|Action-Adventure|Funny|Singleplayer|Cartoony|Colorful|2.5D|Family Friendly|Side Scroller|Arcade|Adventure|Psychological Horror|Fast-Paced|Controller|Experimental,7 user reviews,,0,0
860120,Fantasy Grounds - Deadlands Reloaded: Dead Men Walkin' (Savage Worlds),4.99,2018,"Deadlands Reloaded: Dead Men Walkin’Some tales weren’t meant to be told. This is one of them. Every unfortunate soul who experiences this yarn of horror on the High Plains will die. That’s a fact. And it will happen in fast, amigo.Tread carefully. The dead walk here.","SmiteWorks USA, LLC",,Indie|RPG|Strategy,RPG|Indie|Strategy|Adventure|Utilities|Software|Party-Based RPG|Western|Zombies|Horror|Turn-Based|Fantasy|Online Co-Op|Turn-Based Combat|Turn-Based Tactics,,,0,0
859570,Secret Neighbor,19.5,2019,Hello Neighbor Multiplayer. Secret Neighbor is a Multiplayer Social Horror Game where a group of intruders try to rescue their friend from the Neighbor's creepy basement. Only problem is one of the intruders is the Neighbor in disguise.,Hologryph|Eerie Guest Studios,tinyBuild,Action|Adventure|Indie,Multiplayer|Horror|Online Co-Op|PvP|Co-op|Cartoony|Survival Horror|First-Person|Stealth|Adventure|Family Friendly|Mystery|Colorful|Funny|Action|Indie|Puzzle|Thriller|Casual|Comedy,Very Positive,102,249,123
859160,Blightmare,,soon,"Blightmare is a 2D platformer that follows the journey of Blissa, a young girl struggling with the emotional and mental burdens of growing up in a difficult world. Through her dreams, Blissa confronts her demons and hopes to find the strength to overcome the darkness in her life.",Plateau Games,Plateau Games,Action|Adventure|Indie,Indie|Action|Adventure|Female Protagonist|Cute|Puzzle Platformer|2D|Psychological Horror,,,0,0
858250,Tainted Fate,8.19,2020,"Play as a demon in this story driven slasher horror game. Summoned from the depths of hell into our world, use your demonic abilities to gruesomely take down everything between you and your path back to the underworld. Be the horror.",Delta Reality|Misfit Village,Delta Reality|Misfit Village,Action|Adventure|Indie,Action|Indie|Gore|Violent|Adventure|VR|Early Access|Horror|Funny,Mixed,20,0,0
858360,The Initiate 2: The First Interviews,12.49,2018,"Three people awake in adjacent prison cells with no recollection of how they got there. Now, they must work together in order to escape this nightmarish captivity. But can they really trust one another?",Deceptive Games Ltd.,Deceptive Games Ltd.,Action|Adventure|Indie,Indie|Action|Adventure|Violent|Horror|Puzzle|Psychological Horror|Atmospheric|Story Rich|Great Soundtrack|Singleplayer|Mystery|Drama|Female Protagonist|Action-Adventure|FPS|Cult Classic,Very Positive,76,0,0
